ID,Version,Timestamp,CVEs
org.mockito:mockito-core:2.0.107-beta,2.0.107-beta,1471705334000,No CVE
org.mockito:mockito-core:2.0.86-beta,2.0.86-beta,1468324704000,No CVE
org.mockito:mockito-core:2.0.17-beta,2.0.17-beta,1434832743000,No CVE
org.mockito:mockito-core:5.12.0,5.12.2000,1715420594000,No CVE
org.mockito:mockito-core:2.1.0-beta.125,2.1.0-beta.125,1473306078000,No CVE
org.mockito:mockito-core:2.0.85-beta,2.0.85-beta,1468323701000,No CVE
org.mockito:mockito-core:2.0.76-beta,2.0.76-beta,1467106665000,No CVE
org.mockito:mockito-core:2.1.0-beta.124,2.1.0-beta.124,1473222897000,No CVE
org.mockito:mockito-core:2.0.33-beta,2.0.33-beta,1450425783000,No CVE
org.mockito:mockito-core:1.8.0,1.8.2000,1248381429000,No CVE
org.mockito:mockito-core:3.6.0,3.6.2000,1603765624000,No CVE
org.mockito:mockito-core:2.0.108-beta,2.0.108-beta,1471793389000,No CVE
org.mockito:mockito-core:2.0.88-beta,2.0.88-beta,1469378955000,No CVE
org.mockito:mockito-core:1.8.1,1.8.2001,1258843682000,No CVE
org.mockito:mockito-core:2.7.0,2.7.2000,1485665707000,No CVE
org.mockito:mockito-core:1.10.7,1.10.2007,1412794588000,No CVE
org.mockito:mockito-core:4.5.0,4.5.2000,1650391920000,No CVE
org.mockito:mockito-core:2.0.52-beta,2.0.52-beta,1461375111000,No CVE
org.mockito:mockito-core:4.5.1,4.5.2001,1650541398000,No CVE
org.mockito:mockito-core:2.0.110-beta,2.0.110-beta,1471802268000,No CVE
org.mockito:mockito-core:2.7.22,2.7.22,1491576213000,No CVE
org.mockito:mockito-core:2.0.72-beta,2.0.72-beta,1466956739000,No CVE
org.mockito:mockito-core:2.0.38-beta,2.0.38-beta,1452871074000,No CVE
org.mockito:mockito-core:1.10.17,1.10.17,1418686447000,No CVE
org.mockito:mockito-core:1.10.16,1.10.16,1418600206000,No CVE
org.mockito:mockito-core:1.10.19,1.10.19,1420044213000,No CVE
org.mockito:mockito-core:2.0.18-beta,2.0.18-beta,1434909576000,No CVE
org.mockito:mockito-core:1.10.18,1.10.18,1419924737000,No CVE
org.mockito:mockito-core:2.0.60-beta,2.0.60-beta,1466156796000,No CVE
org.mockito:mockito-core:2.0.91-beta,2.0.91-beta,1469671095000,No CVE
org.mockito:mockito-core:2.0.68-beta,2.0.68-beta,1466374794000,No CVE
org.mockito:mockito-core:1.9.0,1.9.2000,1324344327000,No CVE
org.mockito:mockito-core:5.9.0,5.9.2000,1705243918000,No CVE
org.mockito:mockito-core:2.0.79-beta,2.0.79-beta,1467580720000,No CVE
org.mockito:mockito-core:2.0.36-beta,2.0.36-beta,1451897614000,No CVE
org.mockito:mockito-core:2.0.19-beta,2.0.19-beta,1434909934000,No CVE
org.mockito:mockito-core:2.0.53-beta,2.0.53-beta,1463517212000,No CVE
org.mockito:mockito-core:2.0.12-beta,2.0.12-beta,1433437226000,No CVE
org.mockito:mockito-core:2.0.6-beta,2.0.6-beta,1429264422000,No CVE
org.mockito:mockito-core:5.2.0,5.2.2000,1678390664000,No CVE
org.mockito:mockito-core:2.16.0,2.16.0,1520913906000,No CVE
org.mockito:mockito-core:2.27.0,2.27.0,1554921688000,No CVE
org.mockito:mockito-core:2.0.42-beta,2.0.42-beta,1454878048000,No CVE
org.mockito:mockito-core:2.0.26-beta,2.0.26-beta,1435641595000,No CVE
org.mockito:mockito-core:3.7.0,3.7.2000,1609817068000,No CVE
org.mockito:mockito-core:2.5.4,2.5.2004,1483549327000,No CVE
org.mockito:mockito-core:2.5.5,2.5.2005,1483701548000,No CVE
org.mockito:mockito-core:2.0.20-beta,2.0.20-beta,1434932471000,No CVE
org.mockito:mockito-core:2.5.6,2.5.2006,1484054402000,No CVE
org.mockito:mockito-core:2.1.0-beta.119,2.1.0-beta.119,1472646498000,No CVE
org.mockito:mockito-core:2.0.0-beta.115,2.0.0-beta.115,1472046843000,No CVE
org.mockito:mockito-core:3.2.4,3.2.2004,1576499093000,No CVE
org.mockito:mockito-core:4.2.0,4.2.2000,1639660361000,No CVE
org.mockito:mockito-core:3.2.0,3.2.2000,1575044457000,No CVE
org.mockito:mockito-core:2.1.0-beta.121,2.1.0-beta.121,1473142302000,No CVE
org.mockito:mockito-core:2.0.24-beta,2.0.24-beta,1435557000000,No CVE
org.mockito:mockito-core:2.0.87-beta,2.0.87-beta,1468873642000,No CVE
org.mockito:mockito-core:2.0.37-beta,2.0.37-beta,1452867739000,No CVE
org.mockito:mockito-core:1.8.1-rc1,1.8.1-rc1,1257952265000,No CVE
org.mockito:mockito-core:2.0.45-beta,2.0.45-beta,1460518783000,No CVE
org.mockito:mockito-core:3.9.0,3.9.2000,1617803677000,No CVE
org.mockito:mockito-core:2.5.7,2.5.2007,1484123242000,No CVE
org.mockito:mockito-core:2.0.10-beta,2.0.10-beta,1433335018000,No CVE
org.mockito:mockito-core:1.9.5,1.9.2005,1350209132000,No CVE
org.mockito:mockito-core:2.0.100-beta,2.0.100-beta,1470779118000,No CVE
org.mockito:mockito-core:4.10.0,4.10.2000,1671053747000,No CVE
org.mockito:mockito-core:2.0.98-beta,2.0.98-beta,1470425040000,No CVE
org.mockito:mockito-core:2.0.39-beta,2.0.39-beta,1453150630000,No CVE
